InfoDate,EmployeeID,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,retirementType,resignationReason,Attrition,retirementDate,JobInvolvement,PerformanceRating
2015-12-31,2532,32,9,43270,8.0,13,0,4,0,4,4,4,Travel_Frequently,Sales,Master,Life Sciences,Male,4,Sales Executive,Single,,,No,,3,3
2015-12-31,1062,32,9,43270,8.0,13,0,4,0,4,4,4,Travel_Frequently,Sales,Master,Life Sciences,Male,4,Sales Executive,Single,,,No,,3,3
2015-12-31,4002,32,9,43270,8.0,13,0,4,0,4,4,4,Travel_Frequently,Sales,Master,Life Sciences,Male,4,Sales Executive,Single,,,No,,3,3
2015-12-31,421,48,1,21770,4.0,18,0,4,0,4,3,2,Travel_Rarely,Research & Development,Master,Medical,Male,1,Research Scientist,Married,,,No,,3,3
2015-12-31,1891,48,1,21770,4.0,18,0,4,0,4,3,2,Travel_Rarely,Research & Development,Master,Medical,Male,1,Research Scientist,Married,,,No,,3,3
2015-12-31,3361,48,1,21770,4.0,18,0,4,0,4,3,2,Travel_Rarely,Research & Development,Master,Medical,Male,1,Research Scientist,Married,,,No,,3,3
2015-12-31,3938,33,10,43020,2.0,13,0,3,0,1,1,2,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-11-17,1,3
2015-12-31,2468,33,10,43020,2.0,13,0,3,0,1,1,2,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-07-03,1,3
2015-12-31,998,33,10,43020,2.0,13,0,3,0,1,1,2,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-12-12,1,3
2015-12-31,2947,28,11,58130,2.0,20,1,2,0,1,3,1,Travel_Rarely,Research & Development,College,Medical,Male,2,Sales Executive,Single,Resignation,Stress,Sí,2016-03-03,3,4
2015-12-31,7,28,11,58130,2.0,20,1,2,0,1,3,1,Travel_Rarely,Research & Development,College,Medical,Male,2,Sales Executive,Single,Resignation,Stress,Sí,2016-07-20,3,4
2015-12-31,1477,28,11,58130,2.0,20,1,2,0,3,3,1,Travel_Rarely,Research & Development,College,Medical,Male,2,Sales Executive,Single,Resignation,Salary,Sí,2016-08-24,3,4
2015-12-31,3268,23,2,45590,1.0,18,1,2,0,3,1,3,Travel_Rarely,Sales,Bachelor,Medical,Female,4,Manufacturing Director,Married,Resignation,Others,Sí,2016-05-19,2,3
2015-12-31,328,23,2,45590,1.0,18,1,2,0,3,1,3,Travel_Rarely,Sales,Bachelor,Medical,Female,4,Manufacturing Director,Married,Resignation,Stress,Sí,2016-01-17,2,3
2015-12-31,1798,23,2,45590,1.0,18,1,2,0,3,1,3,Travel_Rarely,Sales,Bachelor,Medical,Female,4,Manufacturing Director,Married,Resignation,Salary,Sí,2016-11-10,2,3
2015-12-31,1322,22,2,193310,1.0,12,1,2,0,2,4,3,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,1,Sales Representative,Single,,,No,,3,3
2015-12-31,4262,22,2,193310,1.0,12,1,2,0,2,4,3,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,1,Sales Representative,Single,,,No,,3,3
2015-12-31,2792,22,2,193310,1.0,12,1,2,0,2,4,3,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,1,Sales Representative,Single,,,No,,3,3
2015-12-31,470,18,5,32300,1.0,12,1,3,0,2,4,3,Non-Travel,Sales,Master,Other,Male,2,Manager,Single,,,No,,3,3
2015-12-31,3410,18,5,32300,1.0,12,1,3,0,2,4,3,Non-Travel,Sales,Master,Other,Male,2,Manager,Single,,,No,,3,3
2015-12-31,1940,18,5,32300,1.0,12,1,3,0,2,4,3,Non-Travel,Sales,Master,Other,Male,2,Manager,Single,,,No,,3,3
2015-12-31,2415,38,11,198450,7.0,11,1,3,0,4,3,2,Travel_Rarely,Research & Development,College,Life Sciences,Male,1,Sales Executive,Married,,,No,,3,3
2015-12-31,3885,38,11,198450,7.0,11,1,3,0,4,3,2,Travel_Rarely,Research & Development,College,Life Sciences,Male,1,Sales Executive,Married,,,No,,3,3
2015-12-31,945,38,11,198450,7.0,11,1,3,0,4,3,2,Travel_Rarely,Research & Development,College,Life Sciences,Male,1,Sales Executive,Married,,,No,,3,3
2015-12-31,203,26,9,26930,5.0,17,3,3,0,1,3,3,Travel_Rarely,Research & Development,Master,Medical,Male,3,Healthcare Representative,Divorced,,,No,,2,3
2015-12-31,1673,26,9,26930,5.0,17,3,3,0,1,3,3,Travel_Rarely,Research & Development,Master,Medical,Male,3,Healthcare Representative,Divorced,,,No,,2,3
2015-12-31,3143,26,9,26930,5.0,17,3,3,0,1,3,3,Travel_Rarely,Research & Development,Master,Medical,Male,3,Healthcare Representative,Divorced,,,No,,2,3
2015-12-31,3970,42,7,57140,5.0,11,0,2,0,2,1,2,Travel_Rarely,Research & Development,Master,Other,Female,2,Laboratory Technician,Married,,,No,,3,3
