Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,cat__EnvironmentSatisfaction_Bajo,cat__JobSatisfaction_Bajo,cat__JobSatisfaction_Muy alto,cat__WorkLifeBalance_Mala,cat__BusinessTravel_Travel_Frequently,cat__Department_Human Resources,cat__EducationField_Human Resources,cat__MaritalStatus_Single,target
32,9,43270,8.0,13,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
32,9,43270,8.0,13,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
32,9,43270,8.0,13,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
48,1,21770,4.0,18,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,1,21770,4.0,18,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,1,21770,4.0,18,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,10,43020,2.0,13,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33,10,43020,2.0,13,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33,10,43020,2.0,13,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
28,11,58130,2.0,20,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
28,11,58130,2.0,20,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
28,11,58130,2.0,20,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
23,2,45590,1.0,18,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,2,45590,1.0,18,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,2,45590,1.0,18,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,2,193310,1.0,12,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
22,2,193310,1.0,12,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
22,2,193310,1.0,12,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
18,5,32300,1.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
18,5,32300,1.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
18,5,32300,1.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
38,11,198450,7.0,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,11,198450,7.0,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,11,198450,7.0,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,9,26930,5.0,17,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,9,26930,5.0,17,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,9,26930,5.0,17,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,7,57140,5.0,11,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,7,57140,5.0,11,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,7,57140,5.0,11,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,1,23350,1.0,14,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
18,1,23350,1.0,14,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
18,1,23350,1.0,14,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33,15,62010,2.0,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33,15,62010,2.0,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33,15,62010,2.0,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18,1,27200,1.0,22,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
18,1,27200,1.0,22,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
18,1,27200,1.0,22,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
56,4,198470,4.0,14,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,4,198470,4.0,14,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,4,198470,4.0,14,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,5,53320,1.0,23,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
19,5,53320,1.0,23,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
19,5,53320,1.0,23,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
42,2,45390,4.0,17,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
42,2,45390,4.0,17,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
42,2,45390,4.0,17,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
34,1,26960,3.0,23,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
34,1,26960,3.0,23,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
34,1,26960,3.0,23,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
18,2,109650,1.0,18,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
18,2,109650,1.0,18,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
18,2,109650,1.0,18,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29,3,27230,6.0,11,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
29,3,27230,6.0,11,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
29,3,27230,6.0,11,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
34,20,57440,3.0,19,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,20,57440,3.0,19,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,20,57440,3.0,19,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2,137570,1.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
21,2,137570,1.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
21,2,137570,1.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
18,2,34680,1.0,18,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
18,2,34680,1.0,18,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
18,2,34680,1.0,18,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
23,10,64390,3.0,22,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,10,64390,3.0,22,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,10,64390,3.0,22,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,10,41870,0.0,22,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
19,10,41870,0.0,22,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
19,10,41870,0.0,22,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
37,2,56470,6.0,19,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
37,2,56470,6.0,19,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
37,2,56470,6.0,19,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
28,1,17060,7.0,12,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
28,1,17060,7.0,12,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
28,1,17060,7.0,12,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
32,26,88230,6.0,13,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
32,26,88230,6.0,13,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
32,26,88230,6.0,13,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
42,1,23720,3.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
42,1,23720,3.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
42,1,23720,3.0,12,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
38,2,20140,3.0,17,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
38,2,20140,3.0,17,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
38,2,20140,3.0,17,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
22,22,26540,0.0,24,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
22,22,26540,0.0,24,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
22,22,26540,0.0,24,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
